PATH	BROKEN
teaching	http://www.advd.unibe.ch/imd/wiwdaten.htm
teaching	http://evub.unibe.ch/pievub/
research	http://moose.unibe.ch
research/snf19	http://www.inf.unisi.ch/faculty/lanza/
research/snf06	http://smallwiki.unibe.ch/changeboxes/
research/snf96	http://st-www.cs.uiuc.edu/users/patterns/patterns.html
research/snf96	http://www-dse.doc.ic.ac.uk/~regis/regis.html
research/snf96	http://cuiwww.unige.ch/OSG/Hop/hop.html
research/bytesurgeon	http://smallwiki.unibe.ch/stefanreichhart/codecoverage/
research/helvetia/petitparser	http://vse-wiki.apis.de/index.cgi/Source%20code%20for%20VS-Smalltalk
research/hermion	http://squeak.ofset.org/squeak-dev
research/traits	http://use.perl.org/~Ovid/journal/38862
research/traits	http://use.perl.org/search.pl?tid=&query=roles&op=journals
wiki/howtos/howtosuperviseabachelorsproject	http://docs.rechtsdienst.unibe.ch/Gesetze/studium/pn_rsl_080901.pdf
wiki/aroundandaboutbern	http://schneenews.ch/
wiki/aroundandaboutbern	http://www.espace.ch/eskino/
wiki/aroundandaboutbern	http://kino.bluewin.ch/kinoprogramm/process.php?city=Bern
staff/andreichis	http://bigfoot.cs.upt.ro/~radum/
staff/andreichis	http://www.intooitus.com
staff/andreichis	http://www.juraj-kubelka.cz/
staff/andreichis	http://www.intooitus.com/products/infusion
staff/andreichis	http://www.icsme.uni-bremen.de/
staff/andreichis	http://sc2013.ec-spride.de/call-for-papers/
staff/mircea	http://choose.s-i.ch/events/forum2012
staff/mircea	http://choose.s-i.ch/events/forum2013
wiki/alumni/lea	http://www.csg.is.titech.ac.jp/~chiba/javassist
staff/davidroethlisberger	http://www.droethlisberger.ch
staff/Milojkovic	http://saner.soccerlab.polymtl.ca/doku.php?id=en:start
staff/oscar/past	http://saner.soccerlab.polymtl.ca/doku.php?id=en:era_track
staff/oscar/past	http://sc2013.ec-spride.de/
staff/oscar/past	http://models2012.info/
staff/oscar/past	http://selab.fbk.eu/icsm2012/
staff/oscar/past	http://iwre.cdacmumbai.in/
staff/oscar/past	http://web.soccerlab.polymtl.ca/wcre2010/
staff/oscar/past	http://seaa2010.liacs.nl/
staff/oscar/past	http://moose.unibe.ch/events/famoosr2009
staff/oscar/past	http://web.soccerlab.polymtl.ca/wcre2009/
staff/oscar/past	http://www.hope.cs.rice.edu/twiki/bin/view/GPCE09/WebHome
staff/oscar/past	http://smallwiki.unibe.ch/suite2009/
staff/oscar/past	http://www.comp.lancs.ac.uk/~bencomo/MRT/
staff/oscar/past	http://moose.unibe.ch/events/famoosr2008
staff/oscar/past	http://smallwiki.unibe.ch/wasdett2008/
staff/oscar/past	http://www.choose.s-i.ch/
staff/oscar/past	http://www.choose.s-i.ch/Events/forum2007.html
staff/oscar/past	http://dyla2007.unibe.ch/
staff/oscar/past	http://smallwiki.unibe.ch/moose/famoosr2007
staff/oscar/past	http://aswec07.cs.latrobe.edu.au/
staff/oscar/past	http://aswec07.cs.latrobe.edu.au/tutorials.html
staff/oscar/past	http://www.sanm.id.au/event_2007_03_23.html
staff/oscar/past	http://www.eurotics.org/euroTICS2006.html
staff/oscar/past	http://w3.umh.ac.be/evol/meetings/evol2006.html
staff/oscar/past	http://esecfse05.unl.pt/
staff/oscar/past	http://smallwiki.unibe.ch/WOOR
staff/oscar/past	http://idm.imag.fr/idm05/
staff/oscar/past	http://w3.umh.ac.be/evol/meetings/evol2005.html
staff/oscar/past	http://www.choose.s-i.ch/Events/forum2005.html
staff/oscar/past	http://lmo2005.unibe.ch
